GTIN,GTIN_12_UPC,PRODUCT_DESCRIPTION,INVOICE_UPC_CASE,INVOICE_UPC_PACK,INVOICE_PACKAGE_DESCRIPTION
00085725116076,085725116076,SAMUEL SMITH ORGANIC CHOCOLATE STOUT BEER 1 CT 19 OZ LONG NECK BOTTLE 18.7 OZ,08015741124,00085725116076,SAMUEL SMITH CHOCOLATE 18.7
00642860900245,642860900245,FOUNDERS ALL DAY IPA BEER 15 CT 12 OZ CAN IN BOX 180 OZ,11111111111,642860900245,FOUNDERS ALL DAY IPA 15/12 CANS
00081753050207,081753050207,VEUVE CLICQUOT BRUT YELLOW LABEL 12/750ML,81753050207,081753050207,VEUVE CLICQUOT BRUT
00071990095116,071990095116,BLUE MOON BELGIAN WHITE ALE BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,11111111111,071990095116,BLUE MOON 6PK LNNR REPEAL
00847159002017,847159002017,SALINAN PASO ROBLES CABERNET SAUVIGNON 750ML,84715900201,847159002017,SALINAN WMKR CAB SEL PASO ROB
30085000017594,085000017593,BAREFOOT CELLARS BUBBLY MOSCATO 750ML BOTTLE,85000017593,085000017593,W BAREFOOT BUBBLY MOSCAT 750ML
00855165005076,855165005076,MEIOMI PINOT NOIR 12/750ML,85516500507,855165005076,MEIOMI P NOIR NL 750ML
00085904015503,085904015503,MOGEN DAVID CONCORD GRAPE KOSHER 6/1.5L,08590401550,085904015503,MOGEN DAVID CONCORD GRAPE 1.5L
00085000020457,085000020456,BAREFOOT PINK MOSCATO 12/750ML,11111111111,085000020456,BAREFOOT PINK MOSCATO 750
00086003813854,086003813854,RM WOODBRIDGE CABERNET SAUV 1.5 LTR,08600381385,086003813854,WOODBRIDGE CAB 1.5L
00721733003075,721733003075,PATRON EXTR ANJ IM TEQ GOLD 750 ML,72173300307,721733003075,PATRON EXTRA ANEJO TEQUILA
00083783531114,083783531114,SIERRA NEVADA HAZY LITTLE THING IPA BEER 12 CT 12 OZ CAN IN BOX 144 OZ,00837835311,083783531114,S/N HAZYLITTLE 2/12C
00853061004070,853061004070,FARGO BREWING COMPANY STONE'S THROW SCOTTISH ALE CAN,11111111111,853061004070,FBC STONES THROW 4/6/12 CAN
00723830130067,723830130067,LAGUNITAS HAZY WONDER IPA BEER 6 CT 12 OZ CAN IN BOX 72 OZ,11111111111,723830130067,LAGUNITAS HAZY WONDER 4/6 12 OZ CN
00085000014462,085000014462,CARLO ROSSI CABERNET SAUV 4.0 LTR,08500001446,085000014462,C ROSSI CABERNET SAUVIGNON
00034100989590,034100989590,HENRYS HARD SPARKLING WATER TROPICAL VARIETY PACK MALT BEVERAGE 6 CT 12 OZ CAN IN BOX 72 OZ,03410089603,034100989590,HENRYS TROPICAL PK 6CAN
00089744335852,089744335852,CHATEAU ST SULPICE BORDEAUX RED BLEND 750ML BOTTLE,11111111111,089744335852,CH.SAINT SULPICE
00081308003009,081308003009,CUPCAKE STILL MOSCATO 12/750ML,08130800300,081308003009,CUPCAKE MOSCATO STILL 750ML
00855310008273,855310008273,CROOK AND MARKER - 11.5OZ CANS COLLECTION THREE VARIETY 8 PACK,11111111111,855310008273,CROOK & MARKER VP BLUE 3/8 CAN
00638489003474,638489003474,DOGFISH HEAD 60 MINUTE IPA 4/6/12OZ CAN,11111111111,638489003474,DOGFISH 60 MINUTE IPA 4/6 12 CAN
10018341151050,018341151053,BAREFOOT CELLARS CHARDONNAY 1.5L BOTTLE,11111111111,018341151053,BAREFOOT CHARD 1.5
00078250006271,078250006271,STEEL RESERVE 211 ALLOY SERIES SPIKED BLUE RAZZ MALT BEVERAGE 1 CT 24 OZ CAN 24 OZ,11111111111,078250006271,STEEL RESERVE SPIKED BLUE RAZZ 12/24 OZ CN
00081434500151,081434500151,BLACKSTONE CALIFORNIA MERLOT 750ML BOTTLE,08143450015,081434500151,BLACKSTONE MERLOT CA 750ML
00086003904064,086003904064,R MNDV PS HRTG RED BLND/MRTG 750 ML,08600390406,086003904064,MOND HRTG CRUSH RED PVT SEL NL
