INVOICE_UPC_CASE,LEN(INVOICE_UPC_CASE),INVOICE_UPC_PACK,LEN(INVOICE_UPC_PACK),INVOICE_PACKAGE_DESCRIPTION
07618300312,11,00076183003121,14,SNAP MANGO MAD 12/16Z LSE
08143431530,11,00814340315304,14,NOBILO SAUVIGNON BLANC  17084
08043280240,11,00070310012444,14,12OZ   SEAGRAM COOLR VARIETY 2/12 CA
08678521248,11,00867852124809,14,CAVIT SELECT RE D BLEND 6/1.5LT
08066095623,11,00080660956237,14,CORONA LIGHT 18/12 BT
01497452125,11,00632565000012,14,FIJI WATER 500ML 4/6 PK
07618300328,11,00076183003282,14,SNAP APPLE 12/16Z LSE PET
66154000133,11,00661540001133,14,BALTIKA #9 EXTRA 500ML
89899901000,11,00898999010007,14,V-C COCONUT 12/500ML TETRA
70655001462,11,00070655001479,14,MMTS PCH BELLINI PET
08981979686,11,00898197968605,14,CH ST JEAN CALI F CAB SAUV 12/.75LT
85255900608,11,00852559006084,14,CIRA ALOE PINEAPPLE 16.9
07336098245,11,00083820181166,14,GUINNESS FOREIGN 4PKBTL
63981916830,11,06398190168306,14,NAKED MTN CHARDONNAY 10719
07031001520,11,00070310015209,14,LABATT GRPFRT 4/6/16 CAN
88345100050,11,00088345100050,14,NEWCASTLE 6 PACK BTL
07800001219,11,00078000012194,14,7UP 4/6 .5 LTR
35985129980,11,00635985129981,14,MIKES VARITY 12PK BT
02210059390,11,00070310016145,14,GENESEE CS STRAW LEM CREM
78425560009,11,00081054003933,14,MOSELAND ARSVITIS RIESLING
03410051609,11,00034100516093,14,LN CRAN SHANDY 2/12/12C
08015741124,11,00085725116076,14,SAMUEL SMITH CHOCOLATE 18.7
89826900330,11,00089826900336,14,TECATE 12 PACK CAN
04220087254,11,00042200872346,14,RIP IT P99 TRIBUTE
87692300500,11,00087692300502,14,SAM ADAMS WINTER 6PK BTL
08678552229,11,10086785522293,14,SHEEP THRILLS PINOT GRIGIO
08066095623,11,00080660956237,14,CORONA LIGHT 18/12 NR
08190863017,11,00819080630179,14,CONCANNON MERLOT SV 12160
11111111110,11,1111111111111,13,BUD 18PK CANS
54106931008,11,5410693100805,13,PAUWEL KWAK 6/4PKS
89000992041,11,1008066000071,13,99 XXPRESSO (48)
62073062016,11,3800016062461,13,MELINI BORGHI D ELSA
63981916830,11,0639819016830,13,NAKED MTN CHARDONNAY 10719
54106931005,11,5410693100539,13,PAUWEL KWAK 12/750
67518122018,11,3008974475694,13,MONACI KREOS ROSATO
08912358528,11,3008121358529,13,J LOHR ARROYO VISTA     CHARD  6/750ML
82000781844,11,8200007818144,13,SMIRNOFF SMASH STRAWBERRY LEMON 8% 23.5OZ CAN 12 LS
08775400045,11,0087754000045,13,HOGUE CABERNET SAUV 14346
01564361089,11,7290015138383,13,STREETS OF JERUSALEM EMERALD RIESLING CHARDONNAY JUDEAN HILLS SEMI DRY WHITE
41069310055,11,5410693100553,13,TRIPEL KARMELIET 12/750
95161730449,11,8004385034621,13,SANTERO STRAWBERRY
96871901128,11,8004385034577,13,SANTERO PASSION FRUIT
08143431530,11,0081434031530,13,NOBILO SAUVIGNON BLANC  17084
54106931006,11,5410693100699,13,TRIPEL KARMELIET 6/4PK
68935200961,11,0689352000961,13,KIM CRAWFORD SAUV BLANC 14460
08735651012,11,087356510124,12,CLOS DU BOIS CHARD 750ML
08858662184,11,088586621840,12,CSM JO RIES TRAY PK 750ML
11111111111,11,071990300784,12,COORS LIGHT 18/12 OZ NR
89998600100,11,899986001003,12,LUNA NUDA P GRIGIO 750ML
11111111111,11,087692821021,12,AO CRISP APPLE 4/6 BTL
08678521116,11,086785211167,12,ROSCATO ROSE DOLCE CAN 12/2 25
08066095715,11,080660957159,12,MODELO ESP 2/12 12 OZ CN
08600305184,11,086003051843,12,MOND CAB NAPA +14 750ML
11111111111,11,866375000058,12,FOUR DAU MOSCATO 1 BTL 750ML
11111111111,11,635985260448,12,WHITE CLAW RUBY GRAPEFRUIT 12/19.2 CAN
