,PRODUCT_MASTER_CATALOG_KEY,PRODUCT_DESCRIPTION
0,340646,REDDS WICKED APPLE ALE BEER 1 CT 24 OZ CAN 24 OZ
1,366058,KING ESTATE WILLAMETTE VALLEY SELECT PINOT GRIS 12/750ML
2,345460,NEW BELGIUM VOODOO RANGER JUICY HAZE IPA BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ
3,341220,COORS LIGHT BEER 15 CT 16 OZ ALUMINUM BOTTL IN BX 240 OZ
4,361732,SUTTER HOME VNZ ITL PIN GRIGO 1.5 LTR
5,343419,BUD LIGHT CHELADA BEER 24 CT 12 OZ CAN IN BOX 288 OZ
6,348682,MODELO ESPECIAL BEER 12 CT 12 OZ CAN IN BOX 144 OZ
7,358774,THE KRAKEN BLCK SPCD RUM 94 PRF 750 ML
8,366886,SEAGRAM'S VO CANADIAN WHISKEY 6/1.75L PET
9,360129,BELLA SERA ITL PIN GRIGO 1.5 LTR
10,344548,BLUE POINT TOASTED LAGER BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ
11,342609,BUD LIGHT LIME BEER 8 CT 16 OZ ALUMINUM BOTTLE 128 OZ
12,116955,RICKSHAW SAUVIGNON BLANC
13,359991,BUDWEISER 2X12 16OZ ALUMINUM BOTTLE
14,348665,CORONA LIGHT BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ
15,342110,BUD LIGHT BEER 6 CT 12 OZ CAN 72 OZ
16,367158,WHITEHAVEN WINEMAKERS SELECT SAUVIGNON BLANC 6/750ML BOTTLE
17,131778,TWISTED TEA CAN 24OZ TWISTED TEA ORIGINAL
18,340167,FOUR LOKO US 12% 23.5OZ BLACK CHERRY SELTZER - CASE
19,345533,MOLSON CANADIAN BEER 24 CT 12 OZ GLASS BOTTLE IN BOX 288 OZ
20,344719,HEINEKEN BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ
21,359687,CHI-CHI'S MRGR TQL 25 PRF PLST 59.15 FL OZ
22,365464,BAREFOOT MOSCATO 6/1.5L
23,344338,ABITA AMBER BEER 6 CT 12 OZ GLASS BOTTLE IN CRTN 72 OZ
24,349492,CORONA PREMIER BEER 12 CT 12 OZ LONG NECK BOTTLE IN BOX 144 OZ
25,365851,CHI-CHI'S WINE COCKTAIL RUBY RED MARGARITA 24/187ML
26,362314,7 MOONS RED CAL RED BLND/MRTG 750 ML
27,348662,CORONA LIGHT BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ
28,341031,MILLER LITE BEER 18 CT 16 OZ ALUMINUM BOTTL IN BX 288 OZ
29,368163,BOTA BOX PINOT GRIGIO 3LT BOX
30,343362,MICHELOB ULTRA BEER 15 CT 25 OZ CAN IN BOX 375 OZ
31,350395,DAILYS MARGARITA WINE POUCH 1 CT 0.2LT
32,342521,NATURAL LIGHT BEER 12 CT 12 OZ CAN IN BOX 144 OZ
33,340873,REDDS APPLE ALE BEER 24 CT 12 OZ LONG NECK BOTTLE IN BOX 288 OZ
